,name,district,acres,Location 1,Latitude,Longitude
132,Kimberleligh Road Park,Clifton,0.2698,"4714 Kimberleigh Rd
Baltimore, MD
",39.3460889,-76.6034063
133,King & Kennedy Park,Clifton,0.2517,"2209 Hunter St
Baltimore, MD
",39.3144764,-76.6132827
134,Lafayette & Aiken Park,Patterson,0.115,"1800 Aiken St
Baltimore, MD
",39.310615,-76.6010567
135,Lafayette & Payson Park,Gwynns Falls,0.277,"2001 Lafayette Ave
Baltimore, MD
",39.298465,-76.649624
136,Lafayette Square  Park,Gwynns Falls,2.88,"816 Arlington Ave
Baltimore, MD
",39.2981599,-76.635835
137,Lakeland Park,Carroll,12.427,"2761 Wegworth La
Baltimore, MD
",39.254834,-76.641223
138,Latrobe Park,Carroll,16.457,"1529 Fort Ave
Baltimore, MD
",39.267248,-76.593445
139,Lehigh & Gough Park,Patterson,0.057,"4500 Gough St
Baltimore, MD
",39.2890074,-76.5581692
140,Little Lithuania Park,Gwynns Falls,0.7183,"836 Hollins St
Baltimore, MD
",39.288207,-76.630231
141,Lower Gwynns Falls Park,Gwynns Falls,15.5225,"525 Hurley Ave
Baltimore, MD
",39.278032,-76.6628829
142,Luzerne Ave Park,Patterson,0.6256,"2601 Biddle St
Baltimore, MD
",39.304625,-76.581088
143,Madison & Whitelock Park,Druid Hill,0.3363,"2325 Madison Ave
Baltimore, MD
",39.3123829,-76.637116
144,Madison Square Park,Patterson,4.12,"1050 Caroline St
Baltimore, MD
",39.3027357,-76.597889
145,Maisel St Park,Carroll,5.739,"1900 Maisel St
Baltimore, MD
",39.2679025,-76.6447432
146,Maple Leaf Park,Druid Hill,1.183,"709 North Ave
Baltimore, MD
",39.3104578,-76.6299747
147,Mary E. Rodman Recreation Center,Gwynns Falls,1.879,"3600 Mulberry St
Baltimore, MD
",39.2921195,-76.6772739
148,McMechen & Etting Park,Druid Hill,0.888,"520 McMechen St
Baltimore, MD
",39.304193,-76.6325743
149,Memorial Stadium Park,Clifton,1.064,"1000 33rd St
Baltimore, MD
",39.328971,-76.601539
150,Miles Ave Park,Druid Hill,0.0355,"2657 Miles Ave
Baltimore, MD
",39.3194494,-76.6224246
151,Montebello Park,Clifton,0.872,"2920 Harford Rd
Baltimore, MD
",39.324217,-76.587474
152,Montpelier & 30th St Park,Clifton,1.3522,"801 Montpelier St
Baltimore, MD
",39.325386,-76.606358
153,Moore's Run  Park,Clifton,57.8067,"4901 Denview Way
Baltimore, MD
",39.3217644,-76.5353832
154,Morrell Park,Carroll,14.582,"2415 Tolley St
Baltimore, MD
",39.2662704,-76.6483143
155,"Mosher, Franklintown & Rosedale",Gwynns Falls,1.003,"Franklintown Rd
Baltimore, MD
",39.2973352,-76.667982
156,Mount Olivet & Phelps Lane,Gwynns Falls,5.2848,"2905 Baltimore St
Baltimore, MD
",39.292024,-76.575919
157,Mount Royal Terrace Park,Druid Hill,1.2945,"Mount Royal Ter
Baltimore, MD
",39.3141041,-76.6275007
158,Mt Vernon Square Park,Carroll,2.3245,"1 Mt Vernon Pl
Baltimore, MD
",39.2971828,-76.6152034
159,Mullan Park,Clifton,1.123,"4000 Old York Rd
Baltimore, MD
",39.338196,-76.608073
160,Mund Park,Clifton,1.799,"2323 Greenmount Ave
Baltimore, MD
",39.315814,-76.6094633
161,Newington Avenue Park,Druid Hill,0.109,"699 Newington Ave
Baltimore, MD
",39.314044,-76.6290605
162,North & Woodbrook Park,Druid Hill,0.09,"1400 North Ave
Baltimore, MD
",39.3101827,-76.6410141
163,North Harford Park,Clifton,8.321,"6800 Hamlet Ave
Baltimore, MD
",39.3675415,-76.5590869
164,Northwest Park,Druid Hill,47.902,"2101 Rogers Ave
Baltimore, MD
",39.357534,-76.658644
165,O'Donnell Square Park,Patterson,0.466,"1021 Linwood Ave
Baltimore, MD
",39.280221,-76.5747101
166,Oliver Park,Patterson,2.0693,"1301 Lanvale St
Baltimore, MD
",39.2978534,-76.6387033
167,Orangeville Park,Patterson,0.2423,"1000 Janney St
Baltimore, MD
",39.303151,-76.5616269
168,Pall Mall & Shirley,Druid Hill,0.5433,"3902 Pall Mall Rd
Baltimore, MD
",39.3347021,-76.6593384
169,Park Avenue Median Park,Druid Hill,1.8318,"1600 2200 Park Ave
Baltimore, MD
",39.314843,-76.630503
170,Pauline Faunteroy,Gwynns Falls,2.827,"1335 Stricker St
Baltimore, MD
",39.3042091,-76.6418215
171,Pearlstone  Park,Carroll,2.452,"1001 Howard St
Baltimore, MD
",39.3033753,-76.6205813
172,Penhurst Park,Gwynns Falls,1.2216,"4004 Penhurst Ave
Baltimore, MD
",39.339052,-76.685183
173,Penn & Melvin Street Park,Carroll,0.316,"655 Melvin Dr
Baltimore, MD
",39.284494,-76.62555
174,Pennsylvania Triangle Park,Gwynns Falls,0.3632,"2000 Pennsylvania Ave
Baltimore, MD
",39.3058904,-76.6375291
175,Pentwood Park,Clifton,1.565,"1500 Pentwood Rd
Baltimore, MD
",39.348791,-76.590824
176,Perkins Spring Square Park,Gwynns Falls,1.042,"Myrtle Ave
Baltimore, MD
",39.2983957,-76.6318557
177,Perring Parkway / Pioneer Drive,Clifton,8.3946,"6301 Perring Pkwy
Baltimore, MD
",39.364452,-76.5732041
178,Pleasant Place Park,Druid Hill,0.3875,"3901 Pleasant Pl
Baltimore, MD
",39.3351191,-76.6321919
179,Poplar Terrace Park,Gwynns Falls,0.067,"3001 Poplar Ter
Baltimore, MD
",39.3128366,-76.6677852
180,Powder Mill Park,Gwynns Falls,77.516,"5700 Liberty Heights &amp; Perring Pkwy
Baltimore, MD
",39.3616138,-76.5690519
181,Queensbury Park,Druid Hill,1.1809,"3009 Spaulding Ave
Baltimore, MD
",39.3496097,-76.6721215
182,Quinton St Park,Patterson,2.391,"400 Quinton St
Baltimore, MD
",39.2889868,-76.5315159
183,Radecke Park,Clifton,14.581,"5602 Radecke Ave
Baltimore, MD
",39.331378,-76.5370219
184,Reedbird Park,Carroll,40.104,"201 Reedbird Ave
Baltimore, MD
",39.2487881,-76.6161873
185,Reservoir Hill Park,Druid Hill,0.35,"751 Reservoir St
Baltimore, MD
",39.3122,-76.630776
186,Reverend Quille Park,Druid Hill,0.2305,"502 Presstman St
Baltimore, MD
",39.3074688,-76.6354437
187,Riverside  Park,Carroll,17.9483,"301 Randall St
Baltimore, MD
",39.2717524,-76.6087404
188,Robert & Mcculloh  Park,Druid Hill,0.1267,"424 Robert St
Baltimore, MD
",39.3075013,-76.6334918
189,Robert C. Marshall Park,Druid Hill,5.337,"1201 Pennsylvania Ave
Baltimore, MD
",39.299514,-76.6296521
190,Rokeby Road Park,Gwynns Falls,0.3679,"4265 Rokeby Rd
Baltimore, MD
",39.298716,-76.68901
191,Roosevelt Park,Druid Hill,18.72,"1201 36th St
Baltimore, MD
",39.331459,-76.599055
192,Rosemont Park,Gwynns Falls,0.54,"840 Franklintown Rd
Baltimore, MD
",39.296323,-76.666388
193,Rosemont Rec Center,Gwynns Falls,0.188,"1201 Rosedale St
Baltimore, MD
",39.3021508,-76.6686569
194,Rozena Ridgley Park,Druid Hill,0.1695,"1511 Mucculloh St
Baltimore, MD
",39.3045125,-76.6298129
195,Rutter's Mill Park,Druid Hill,0.2122,"1402 Rutter St
Baltimore, MD
",39.3079796,-76.6225849
196,Saint Casmir's Park,Patterson,1.432,"2719 O Donnell St
Baltimore, MD
",39.279958,-76.5771978
197,Saint Charles Park,Gwynns Falls,1.1,"4754 Melbourne Rd
Baltimore, MD
",39.2725608,-76.6957889
198,Saint Helena Park,Patterson,0.7811,"6521 Parnell Ave
Baltimore, MD
",39.2589484,-76.5321142
199,Saint Joseph's Park,Gwynns Falls,6.2192,"230 Mccurley St
Baltimore, MD
",39.2592919,-76.7399806
200,Saint Katherine's Park,Druid Hill,0.1261,"2001 Druid Hill Ave
Baltimore, MD
",39.3077599,-76.6352951
201,Saint Leo's Bocce Park,Patterson,0.107,"902 Stiles St
Baltimore, MD
",39.287207,-76.602041
202,Saint Mary & Paca Traffic Island,Carroll,0.077,"450 St Mary St
Baltimore, MD
",39.2977089,-76.6226782
203,Saint Mary's  Park,Carroll,4.75,"606 Paca St
Baltimore, MD
",39.283443,-76.624495
204,Sarah Ann Park,Gwynns Falls,0.0789,"1122 Saratoga St
Baltimore, MD
",39.292532,-76.636157
205,Schroeder & Lombard  Park,Gwynns Falls,0.1109,"100 Schroeder St
Baltimore, MD
",39.2902262,-76.6338768
206,Shipley Hill 1,Gwynns Falls,0.6919,"2500 Booth St
Baltimore, MD
",39.2872776,-76.6561361
207,Shipley Hill 2,Gwynns Falls,0.8882,"2502 Boyd St
Baltimore, MD
",39.286338,-76.656764
208,Shirley Ave Park,Druid Hill,0.681,"4001 Reisterstown Rd
Baltimore, MD
",39.334129,-76.663426
209,Shot Tower,Patterson,1.415,"701 Fayette St
Baltimore, MD
",39.2906569,-76.6069561
210,Silverbell Park,Clifton,0.559,"5501 Silverbell Ave
Baltimore, MD
",39.334435,-76.53168
211,Solo Gibbs Park,Carroll,4.448,"1044 Leadenhall St
Baltimore, MD
",39.277353,-76.6185689
212,Stricker & Ramsey Park,Carroll,1.5491,"401 Stricker St
Baltimore, MD
",39.2827879,-76.6401338
213,Swann Park,Carroll,11.1427,"201 Mccomas St
Baltimore, MD
",39.265937,-76.616597
214,Thames Street Park,Patterson,0.549,"1832 Thames St
Baltimore, MD
",39.282347,-76.590159
215,Towanda Park,Druid Hill,10.4194,"4126 Towanda Ave
Baltimore, MD
",39.334599,-76.666612
216,Union Square Park,Gwynns Falls,2.0644,"31 Gilmor St
Baltimore, MD
",39.2892536,-76.6424104
218,Upton Boxing Center,Druid Hill,0.521,"1901 Pennsylvania Ave
Baltimore, MD
",39.3054643,-76.6365093
219,Vincent St Park,Gwynns Falls,0.9072,"122 Vincent St
Baltimore, MD
",39.2902044,-76.6432969
220,Violetville Park,Carroll,10.22,"1095 Joh Ave
Baltimore, MD
",39.267282,-76.680708
221,War Memorial Plaza,Carroll,0.8753,"101 Holliday St
Baltimore, MD
",39.2904959,-76.6103524
222,Warner Street Traffic Island,Carroll,0.313,"611 Warner St
Baltimore, MD
",39.2830613,-76.6237319
223,Warwick Avenue Park,Gwynns Falls,0.9182,"2 Warwick Ave
Baltimore, MD
",39.2878426,-76.6555876
224,Washington Monument,Carroll,0.266,"699 Washington Pl
Baltimore, MD
",39.297543,-76.615672
225,Waverly Mini Park,Clifton,0.4224,"2932 Indepence St
Baltimore, MD
",39.323991,-76.6039459
226,Western Run Park,Druid Hill,46.4215,"5800 6700 Cross Country Blvd
Baltimore, MD
",39.3643659,-76.697884
227,Wilbur H. Waters Park,Gwynns Falls,2.2281,"1600 Dukeland St
Baltimore, MD
",39.306068,-76.6630719
228,William McAbee Park,Gwynns Falls,1.233,"1600 Laurens St
Baltimore, MD
",39.303363,-76.6437227
229,William McGill Park,Gwynns Falls,0.3056,"2408 Allendale St
Baltimore, MD
",39.3157796,-76.6804619
230,Willow Avenue Park,Clifton,1.396,"603 Willow Ave
Baltimore, MD
",39.344042,-76.60741
231,Wilson & Etting Park,Druid Hill,1.26,"520 Islamic Way
Baltimore, MD
",39.3052391,-76.6334536
232,Windsor Hills Park,Gwynns Falls,0.4592,"2905 Lawina Rd
Baltimore, MD
",39.3179924,-76.6894456
233,Winner Avenue Park,Druid Hill,0.266,"5400 Winner Ave
Baltimore, MD
",39.3528955,-76.6777894
234,Woodberry Park,Druid Hill,4.8328,"2200 Druid Park Dr
Baltimore, MD
",39.3314,-76.651764
236,Woodbourne Avenue Park,Clifton,0.844,"1633 Woodbourne Ave
Baltimore, MD
",39.3552784,-76.5850384
237,Yale Heights Park,Gwynns Falls,1.133,"603 Bethnal Rd
Baltimore, MD
",39.2765928,-76.6899087
238,Hillen Triangle,Clifton,1.44,"3201 Hillen Rd
Baltimore, MD
",39.3275465,-76.5892868
239,Wyman Park Dell,Druid Hill,84.572,"29th St
Baltimore, MD
",39.3235634,-76.6073798
240,Wyman Park,Druid Hill,3.273,"33rd St
Baltimore, MD
",39.3284955,-76.6029508
241,Middle Branch Park,Carroll,95.072,"3301 Waterview Ave
Baltimore, MD
",39.2549663,-76.6223268
243,McKim Park,Patterson,1.7471,"1200 Baltimore St
Baltimore, MD
",39.2889184,-76.6369967
244,Hooper & Rockrose Park,Druid Hill,6.698,"2020 Rockrose Ave
Baltimore, MD
",39.334311,-76.647193
245,Jones Falls Trail,Druid Hill,17.38,"3900 Clipper Rd
Baltimore, MD
",39.3352068,-76.6470551
246,Stoney Run Park,Druid Hill,27.2809,"101 Cold Spring La
Baltimore, MD
",39.3451024,-76.6251851
247,Harlem Inner Block Parks,Gwynns Falls,0.739,"1308 Lanvale St
Baltimore, MD
",39.298061,-76.639304
248,Harlem Inner Block Parks,Gwynns Falls,0.864,"823 Mount St
Baltimore, MD
",39.298286,-76.643659
249,Harlem Inner Block Parks,Gwynns Falls,0.749,"1725 Lafayette Ave
Baltimore, MD
",39.298184,-76.644981
250,Harlem Inner Block Parks,Gwynns Falls,0.765,"702 Mount St
Baltimore, MD
",39.297077,-76.644932
251,Harlem Inner Block Parks,Gwynns Falls,0.632,"1120 Harlem Ave
Baltimore, MD
",39.297225,-76.636491
252,Harlem Inner Block Parks,Gwynns Falls,0.749,"1100 Edmondson Ave
Baltimore, MD
",39.296145,-76.636397
253,Harlem Inner Block Parks,Gwynns Falls,0.898,"600 Block Woodyear St
Baltimore, MD
",39.2954434,-76.6392408
254,Harlem Inner Block Parks,Gwynns Falls,0.93,"529 Gilmor St
Baltimore, MD
",39.294632,-76.642005
255,Harlem Inner Block Parks,Gwynns Falls,0.255,"527 1 2 N Stricker St
Baltimore, MD
",39.294777,-76.641042
256,Harlem Inner Block Parks,Gwynns Falls,0.862,"1302 Franklin St
Baltimore, MD
",39.2947289,-76.639176
257,Harlem Inner Block Parks,Gwynns Falls,0.83,"1122 1 2 W Franklin St
Baltimore, MD
",39.294461,-76.636268
258,Patterson Park,Patterson,134.291,"200 Linwood Ave
Baltimore, MD
",39.288962,-76.577155
259,Classen & Park Heights Park,Druid Hill,1.2743,"4307 Reisterstown Rd
Baltimore, MD
",39.337677,-76.666189
261,Druid Hill Park,Druid Hill,746.0,"2700 Madison Ave
Baltimore, MD
",39.3151217,-76.640333
263,Dypski Park,Patterson,2.477,"1225 Ellwood Ave
Baltimore, MD
",39.278039,-76.5717559
264,Canton Soccer Park,Patterson,2.882,"3201 Toone St
Baltimore, MD
",39.2783138,-76.5709452
265,Mount Pleasant Woods,Clifton,51.3,"6100 Hillen Rd
Baltimore, MD
",39.3721106,-76.5790598
266,Mount Pleasant Park,Clifton,37.0895,"Perring Pkwy
Baltimore, MD
",39.3616138,-76.5690519
267,Mount Pleasant Ice Rink,Clifton,2.093,"6101 Hillen Rd
Baltimore, MD
",39.3687785,-76.5779032
268,Mount Pleasant Golf Course,Clifton,163.837,"6131 Hillen Rd
Baltimore, MD
",39.3727105,-76.5785878
269,Gwynns Falls Trail,Gwynns Falls,54.7443,"2781 Wilkens Ave
Baltimore, MD
",39.276675,-76.661383
270,Carroll Park,Carroll,164.372,"1500 Washington Blvd
Baltimore, MD
",39.2789522,-76.6429804
271,Gwynns Falls / Leakin Park,Gwynns Falls,965.7939,"4921 Windsor Mill Rd
Baltimore, MD
",39.3095788,-76.7002091
272,Catonsville Short Line Park,Gwynns Falls,7.026,"Beechfield Ave
Baltimore, MD
",39.27342,-76.6932766
273,"Windsor Mill, Gwynns Falls & Lyndhurst",Gwynns Falls,0.379,"Gwynns Falls Pkwy
Baltimore, MD
",39.3146693,-76.6651752
274,Paca St Park,Carroll,3.607,"2640 Paca St
Baltimore, MD
",39.261842,-76.647296
275,Hollins Ferry and B&O Park,Carroll,0.774,"2300 Hollins Ferry Rd
Baltimore, MD
",39.2647847,-76.644052
