,LicenseClass,SubClass,LicenseNumber,LicenseDate,LicenseEndDate,LicenseYear,LicenseFee,CertificateNumber,LicenseStatus,LicenseeFirstName,LicenseeLastName,TradeName,CorpName,EstablishmentDesc,DayPerWeek,Description,AddrStreet,AddrZip,Location 1,Latitude,Longitude
22,LA,BWL,83,05/01/2015,04/30/2016,2015,$858.00,346,Renewed,YOM UM,CHONG,A & B LIQUORS,"SIM'S INTERNATIONAL, INC.",Package goods only,6 days,"Beer, Wine, & Liquor",523-25 LEXINGTON STREET WEST,21201,"523-25 LEXINGTON STREET WEST
21201
(39.29137323700007, -76.62330670899996)",39.291373237,-76.623306709
23,LA-2,BWL,8,05/01/2015,04/30/2016,2015,$858.00,754,Renewed,ARSENIO E.,GOMEZ,A & L LIQUOR STORE,"A & L LlQUOR STORE, INC.",Package Goods Only,6 days,"Beer, Wine, & Liquor",452 PATTERSON PARK AVE. NORTH,21231,"452 PATTERSON PARK AVE. NORTH
21231
(39.29650819700004, -76.58501561999998)",39.296508197,-76.58501562
24,LA,BWL,56,05/01/2015,04/30/2016,2015,$858.00,227,Renewed,KIBROM G.,GHEBREMESKEL,A-1 DELI,"WIBET, INC.",Package goods only,6 days,"Beer, Wine, & Liquor",620A EUTAW STREET NORTH,21201,"620A EUTAW STREET NORTH
21201
(39.296017998000025, -76.62137511099996)",39.296017998,-76.621375111
25,LB,BWL,9,05/01/2015,04/30/2016,2015,$1520.00,38,Renewed,HARRY R.,"MILLER, IV",ABBEY BURGER BISTRO,"ABBEY BISTRO, LLC.",Restaurant,7 days,"Beer, Wine, & Liquor",1041-43 MARSHALL STREET,21230,"1041-43 MARSHALL STREET
21230
(39.27708950600004, -76.61295551099994)",39.277089506,-76.612955511
26,LA,BWL,177,05/01/2015,04/30/2016,2015,$858.00,932,Renewed,DANG HO,PAK,ACE LIQUORS & GROCERIES,,Package goods only,6 days,"Beer, Wine, & Liquor",500 MAUDE AVENUE,21225,"500 MAUDE AVENUE
21225
(39.23884686300005, -76.60256256699995)",39.238846863,-76.602562567
27,LA,BWL,177,05/01/2015,04/30/2016,2015,$858.00,932,Renewed,SANG SUK,PAK,ACE LIQUORS & GROCERIES,,Package goods only,6 days,"Beer, Wine, & Liquor",500 MAUDE AVENUE,21225,"500 MAUDE AVENUE
21225
(39.23884686300005, -76.60256256699995)",39.238846863,-76.602562567
28,LBD7,BWL,289,05/01/2015,04/30/2016,2015,$1320.00,773,Renewed,GEORGE,AVGERINOS,ACROPOLIS RESTAURANT,"SPARTA, INC.",Tavern,7 days,"Beer, Wine, & Liquor",4714-18 EASTERN AVENUE,21224,"4714-18 EASTERN AVENUE
21224
(39.287080642000035, -76.55637529399996)",39.287080642,-76.556375294
29,LB,BWL,160,05/01/2015,04/30/2016,2015,$1800.00,776,Renewed,MARY,UTTENREITHER,ADAGIO,"1727 PRATT, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",1727 PRATT STREET EAST,21231,"1727 PRATT STREET EAST
21231
(39.289260342000034, -76.59257935399995)",39.289260342,-76.592579354
30,LB,BWL,160,05/01/2015,04/30/2016,2015,$1800.00,776,Renewed,PIROOZ,SHARAFI,ADAGIO,"1727 PRATT, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",1727 PRATT STREET EAST,21231,"1727 PRATT STREET EAST
21231
(39.289260342000034, -76.59257935399995)",39.289260342,-76.592579354
31,LB,BWL,164,05/01/2015,04/30/2016,2015,$3500.00,788,Renewed,BRETT  A.,HENRY,ADMIRAL FELL INN,"MJ FELLS POINT, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",818 BROADWAY SOUTH,21231,"818 BROADWAY SOUTH
21231
(39.28182812700004, -76.59345608399997)",39.281828127,-76.593456084
32,LB,BWL,164,05/01/2015,04/30/2016,2015,$3500.00,788,Renewed,TED,"JABARA, III",ADMIRAL FELL INN,"MJ FELLS POINT, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",818 BROADWAY SOUTH,21231,"818 BROADWAY SOUTH
21231
(39.28182812700004, -76.59345608399997)",39.281828127,-76.593456084
33,LBD7,BWL,110,05/01/2015,04/30/2016,2015,$1320.00,306,Renewed,CHRISTAKIS,SOLOMONIDES,ADMIRALS CUP,"ADMIRALS CUP, LLC",Tavern,7 days,"Beer, Wine, & Liquor",1645 THAMES STREET,21231,"1645 THAMES STREET
21231
(39.28174516200005, -76.59343649499993)",39.281745162,-76.593436495
34,LBD7,BWL,110,05/01/2015,04/30/2016,2015,$1320.00,306,Renewed,DAVID,BERG,ADMIRALS CUP,"ADMIRALS CUP, LLC",Tavern,7 days,"Beer, Wine, & Liquor",1645 THAMES STREET,21231,"1645 THAMES STREET
21231
(39.28174516200005, -76.59343649499993)",39.281745162,-76.593436495
35,LB,BWL,294,05/01/2015,04/30/2016,2015,$1520.00,1164,Renewed,HOMA,RAVANBAKHSH,AFFOGATO CAFE & TAVERN,HOMA RAVANBAKHSH,Restaurant,7 days,"Beer, Wine, & Liquor",1000-04 EASTERN AVENUE,21202,"1000-04 EASTERN AVENUE
21202
(39.28531312600006, -76.60023429099994)",39.285313126,-76.600234291
36,LBD7,BWL,100,05/01/2015,04/30/2016,2015,$1320.00,282,Renewed,GAIL S.,SCHEUERMAN,AIRPORT BAR & GRILL,"RIVERVIEW AIRPORT BAR & GRILL, INC.",Tavern,7 days,"Beer, Wine, & Liquor",6500 RIVERVIEW AVENUE,21222,"6500 RIVERVIEW AVENUE
21222
(39.25746773700007, -76.53138496699995)",39.257467737,-76.531384967
37,LBD7,BWL,100,05/01/2015,04/30/2016,2015,$1320.00,282,Renewed,REGINA MARIA,POWERS,AIRPORT BAR & GRILL,"RIVERVIEW AIRPORT BAR & GRILL, INC.",Tavern,7 days,"Beer, Wine, & Liquor",6500 RIVERVIEW AVENUE,21222,"6500 RIVERVIEW AVENUE
21222
(39.25746773700007, -76.53138496699995)",39.257467737,-76.531384967
38,LB,BWL,200,05/01/2015,04/30/2016,2015,$1320.00,936,Renewed,MAHENDRA,PAREKH,AKBAR RESTAURANT,"AKBAR RESTAURANT, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",823 CHARLES STREET NORTH,21201,"823 CHARLES STREET NORTH
21201
(39.29933359200004, -76.61572508199998)",39.299333592,-76.615725082
39,LB,BWL,200,05/01/2015,04/30/2016,2015,$1320.00,936,Renewed,SATISH C.,BAHL,AKBAR RESTAURANT,"AKBAR RESTAURANT, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",823 CHARLES STREET NORTH,21201,"823 CHARLES STREET NORTH
21201
(39.29933359200004, -76.61572508199998)",39.299333592,-76.615725082
40,LB,BWL,200,05/01/2015,04/30/2016,2015,$1320.00,936,Renewed,VINAY K.,WAHI,AKBAR RESTAURANT,"AKBAR RESTAURANT, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",823 CHARLES STREET NORTH,21201,"823 CHARLES STREET NORTH
21201
(39.29933359200004, -76.61572508199998)",39.299333592,-76.615725082
41,LBD7,BWL,200,05/01/2015,04/30/2016,2015,$1320.00,536,Renewed,PYO HYUN,PARK,AKO LIQUORS,,Tavern,7 days,"Beer, Wine, & Liquor",2700 FAIRMOUNT AVENUE WEST,21223,"2700 FAIRMOUNT AVENUE WEST
21223
(39.28835810800007, -76.65963623799996)",39.288358108,-76.659636238
42,LB,BWL,30,05/01/2015,04/30/2016,2015,$1320.00,173,Renewed,DEBORAH,BELL-MATASSA,ALCHEMY,"ALCHEMY, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",1011 36TH STREET WEST,21211,"1011 36TH STREET WEST
21211
(39.33105360600007, -76.63306922799995)",39.331053606,-76.633069228
43,LB,BWL,30,05/01/2015,04/30/2016,2015,$1320.00,173,Renewed,MICHAEL V.,MATASSA,ALCHEMY,"ALCHEMY, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",1011 36TH STREET WEST,21211,"1011 36TH STREET WEST
21211
(39.33105360600007, -76.63306922799995)",39.331053606,-76.633069228
44,LB,BWL,51,05/01/2015,04/30/2016,2015,$1320.00,297,Renewed,MARIA C.,LIJOI,ALDO'S RISTORANTE ITALIANO,"VITA, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",306 HIGH STREET SOUTH,21202,"306 HIGH STREET SOUTH
21202
(39.286092722000035, -76.60172831499995)",39.286092722,-76.601728315
45,LB,BWL,51,05/01/2015,04/30/2016,2015,$1320.00,297,Renewed,REGINA P.,VITALE,ALDO'S RISTORANTE ITALIANO,"VITA, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",306 HIGH STREET SOUTH,21202,"306 HIGH STREET SOUTH
21202
(39.286092722000035, -76.60172831499995)",39.286092722,-76.601728315
46,LB,BWL,51,05/01/2015,04/30/2016,2015,$1320.00,297,Renewed,RINALDO,VITALE,ALDO'S RISTORANTE ITALIANO,"VITA, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",306 HIGH STREET SOUTH,21202,"306 HIGH STREET SOUTH
21202
(39.286092722000035, -76.60172831499995)",39.286092722,-76.601728315
47,LBD7,BWL,87,05/01/2015,04/30/2016,2015,$1320.00,242,Renewed,THOMAS A.,RIVERS,ALE MARY'S,"SIDERAIL, INC.",Tavern,7 days,"Beer, Wine, & Liquor",1939 FLEET STREET,21231,"1939 FLEET STREET
21231
(39.284713440000075, -76.58885963199998)",39.28471344,-76.588859632
48,LB,BWL,229,05/01/2015,04/30/2016,2015,$2300.00,1007,Renewed,BRYAN,PALOMBO,ALEWIFE,"ALEWIFE, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",21 EUTAW STREET NORTH,21201,"21 EUTAW STREET NORTH
21201
(39.29022250000003, -76.62095528899994)",39.2902225,-76.620955289
49,LB,BWL,116,05/01/2015,04/30/2016,2015,$2020.00,558,Renewed,CARRIE,PODLES,ALEXANDER'S TAVERN,"ALEXANDER'S TAVERN, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",710-12 BROADWAY SOUTH,21231,"710-12 BROADWAY SOUTH
21231
(39.28319911400007, -76.59351339299997)",39.283199114,-76.593513393
50,LB,BWL,116,05/01/2015,04/30/2016,2015,$2020.00,558,Renewed,CHARLES W.,GJERDE,ALEXANDER'S TAVERN,"ALEXANDER'S TAVERN, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",710-12 BROADWAY SOUTH,21231,"710-12 BROADWAY SOUTH
21231
(39.28319911400007, -76.59351339299997)",39.283199114,-76.593513393
51,LB,BWL,116,05/01/2015,04/30/2016,2015,$2020.00,558,Renewed,JOHN ,BURKE,ALEXANDER'S TAVERN,"ALEXANDER'S TAVERN, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",710-12 BROADWAY SOUTH,21231,"710-12 BROADWAY SOUTH
21231
(39.28319911400007, -76.59351339299997)",39.283199114,-76.593513393
52,LBD7,BWL,179,05/01/2015,04/30/2016,2015,$1320.00,499,Renewed,VIRGINIA B,FERGUSON,AL-HO CLUB,"J.V.W., INC.",Tavern,7 days,"Beer, Wine, & Liquor",2105-07 FREDERICK AVENUE,21223,"2105-07 FREDERICK AVENUE
21223
(39.28557395400003, -76.65041138899994)",39.285573954,-76.650411389
53,LBD7,BWL,179,05/01/2015,04/30/2016,2015,$1320.00,499,Renewed,WILLIAM,FERGUSON,AL-HO CLUB,"J.V.W., INC.",Tavern,7 days,"Beer, Wine, & Liquor",2105-07 FREDERICK AVENUE,21223,"2105-07 FREDERICK AVENUE
21223
(39.28557395400003, -76.65041138899994)",39.285573954,-76.650411389
54,LBHM,BWL,22,05/01/2015,04/30/2016,2015,$6500.00,1089,Renewed,RICHARD W.,NAING,ALIZEE RESTAURANT,"RWN COLONNADE HOTEL, LLC",Hotel/Motel,7 days,"Beer, Wine, & Liquor",4 UNIVERSITY PARKWAY WEST,21218,"4 UNIVERSITY PARKWAY WEST
21218
(39.33354483900007, -76.61926489199999)",39.333544839,-76.619264892
55,LB,BWL,317,05/01/2015,04/30/2016,2015,$1320.00,1248,Renewed,IRENA,STEIN ,ALMA COCINA LATINA,"ALMA AREPA BAR, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",2400 BOSTON STREET,21224,"2400 BOSTON STREET
21224
(39.28149511700008, -76.58168437299997)",39.281495117,-76.581684373
56,LB,BWL,17,05/01/2015,04/30/2016,2015,$1520.00,92,Renewed,CHAE KUK,CHA,ALOHA SUSHI,ALOHA TOKYO INC,Restaurant,7 days,"Beer, Wine, & Liquor",1218 CHARLES STREET NORTH,21201,"1218 CHARLES STREET NORTH
21201
(39.303691628000024, -76.61611289499996)",39.303691628,-76.616112895
57,LB,BWL,17,05/01/2015,04/30/2016,2015,$1520.00,92,Renewed,MIN,CHA,ALOHA SUSHI,ALOHA TOKYO INC,Restaurant,7 days,"Beer, Wine, & Liquor",1218 CHARLES STREET NORTH,21201,"1218 CHARLES STREET NORTH
21201
(39.303691628000024, -76.61611289499996)",39.303691628,-76.616112895
58,LA,BWL,36,05/01/2015,04/30/2016,2015,$858.00,142,Renewed,KUN HI,YOO,AL'S LIQUOR,"YOO'S LIQUORS, INC.",Package goods only,6 days,"Beer, Wine, & Liquor",3927 PARK HEIGHTS AVENUE,21215,"3927 PARK HEIGHTS AVENUE
21215
(39.33435950200004, -76.66240401899995)",39.334359502,-76.662404019
59,LB,BWL,137,05/01/2015,04/30/2016,2015,$1320.00,675,Renewed,KEHAR,SINGH,AMBASSADOR DINING ROOM,"TUSCANY, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",3811 CANTERBURY ROAD,21218,"3811 CANTERBURY ROAD
21218
(39.335273262000044, -76.62040565099994)",39.335273262,-76.620405651
60,LB,BWL,137,05/01/2015,04/30/2016,2015,$1320.00,675,Renewed,LAURA H.,SINGH,AMBASSADOR DINING ROOM,"TUSCANY, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",3811 CANTERBURY ROAD,21218,"3811 CANTERBURY ROAD
21218
(39.335273262000044, -76.62040565099994)",39.335273262,-76.620405651
61,LC,BWL,19,05/01/2015,04/30/2016,2015,$550.00,405,Renewed,ERVIN L.,FORD,AMERICAN LEGION NORTHEASTERN POST #285,AMERICAN-LEGION NORTHEASTERN POST #285,Non-Profits only,7 days,"Beer, Wine, & Liquor",2324 MCELDERRY STREET,21205,"2324 MCELDERRY STREET
21205
(39.297677763000024, -76.58422169799996)",39.297677763,-76.584221698
62,LC,BWL,19,05/01/2015,04/30/2016,2015,$550.00,405,Renewed,WILLIAM N.,BROWN,AMERICAN LEGION NORTHEASTERN POST #285,AMERICAN-LEGION NORTHEASTERN POST #285,Non-Profits only,7 days,"Beer, Wine, & Liquor",2324 MCELDERRY STREET,21205,"2324 MCELDERRY STREET
21205
(39.297677763000024, -76.58422169799996)",39.297677763,-76.584221698
63,LC,BWL,28,05/01/2015,04/30/2016,2015,$550.00,585,Renewed,GREGORY W.,SCOTT,AMERICAN LEGION POST #19,"FEDERAL POST #19 OF THE AMERICAN LEGION, INC",Non-Profits only,7 days,"Beer, Wine, & Liquor",1502 MADISON AVENUE,21217,"1502 MADISON AVENUE
21217
(39.30485763100006, -76.62921023599995)",39.304857631,-76.629210236
64,LC,BWL,28,05/01/2015,04/30/2016,2015,$550.00,585,Renewed,MICHAEL J.,MACKAY,AMERICAN LEGION POST #19,"FEDERAL POST #19 OF THE AMERICAN LEGION, INC",Non-Profits only,7 days,"Beer, Wine, & Liquor",1502 MADISON AVENUE,21217,"1502 MADISON AVENUE
21217
(39.30485763100006, -76.62921023599995)",39.304857631,-76.629210236
65,LC,BWL,28,05/01/2015,04/30/2016,2015,$550.00,585,Renewed,MICHAEL R.,"SMITH, SR.",AMERICAN LEGION POST #19,"FEDERAL POST #19 OF THE AMERICAN LEGION, INC",Non-Profits only,7 days,"Beer, Wine, & Liquor",1502 MADISON AVENUE,21217,"1502 MADISON AVENUE
21217
(39.30485763100006, -76.62921023599995)",39.304857631,-76.629210236
66,LB,BWL,180,05/01/2015,04/30/2016,2015,$2500.00,853,Renewed,DOLORES M.,KEH,AMICCI'S,"AMICCI'S, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",231 HIGH STREET SOUTH,21202,"231 HIGH STREET SOUTH
21202
(39.28659742100007, -76.60197259899996)",39.286597421,-76.601972599
67,LB,BWL,180,05/01/2015,04/30/2016,2015,$2500.00,853,Renewed,R. SCOTT,PANIAN,AMICCI'S,"AMICCI'S, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",231 HIGH STREET SOUTH,21202,"231 HIGH STREET SOUTH
21202
(39.28659742100007, -76.60197259899996)",39.286597421,-76.601972599
68,LB,BWL,180,05/01/2015,04/30/2016,2015,$2500.00,853,Renewed,ROLAND M.,KEH,AMICCI'S,"AMICCI'S, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",231 HIGH STREET SOUTH,21202,"231 HIGH STREET SOUTH
21202
(39.28659742100007, -76.60197259899996)",39.286597421,-76.601972599
69,LD,BWL,37,05/01/2015,04/30/2016,2015,$825.00,806,Renewed,CARLOS NAVARRO,SOTELO,AMIGOS BAR,"AMIGOS BAR, INC",Tavern,6 days,"Beer, Wine, & Liquor",400 EATON STREET SOUTH,21224,"400 EATON STREET SOUTH
21224
(39.28759760200006, -76.56536575799998)",39.287597602,-76.565365758
70,LD,BWL,37,05/01/2015,04/30/2016,2015,$825.00,806,Renewed,CHRISTIAN LEOPOLDO,RUGEL,AMIGOS BAR,"AMIGOS BAR, INC",Tavern,6 days,"Beer, Wine, & Liquor",400 EATON STREET SOUTH,21224,"400 EATON STREET SOUTH
21224
(39.28759760200006, -76.56536575799998)",39.287597602,-76.565365758
71,LA,BWL,116,05/01/2015,04/30/2016,2015,$858.00,549,Renewed,DOROTHY,CHOE,AMKO LIQUOR,"AMKO LIQUORS, INC.",Package goods only,6 days,"Beer, Wine, & Liquor",2802 EDMONDSON AVENUE,21223,"2802 EDMONDSON AVENUE
21223
(39.29449746500006, -76.66311151999997)",39.294497465,-76.66311152
72,LA,BWL,116,05/01/2015,04/30/2016,2015,$858.00,549,Renewed,PETER,CHOE,AMKO LIQUOR,"AMKO LIQUORS, INC.",Package goods only,6 days,"Beer, Wine, & Liquor",2802 EDMONDSON AVENUE,21223,"2802 EDMONDSON AVENUE
21223
(39.29449746500006, -76.66311151999997)",39.294497465,-76.66311152
73,LBD7,BWL,370,05/01/2015,04/30/2016,2015,$1320.00,1031,Renewed,STEVEN,BLATTERMAN,ANCHE',PANE E VINO,Tavern,7 days,"Beer, Wine, & Liquor",408 HIGH STREET SOUTH,21202,"408 HIGH STREET SOUTH
21202
(39.285443987000065, -76.60131810299998)",39.285443987,-76.601318103
74,WD,BW,12,05/01/2015,04/30/2016,2015,$165.00,321,Renewed,CHANG HO,KIM,ANDY'S FOOD MART,"ANDY'S FOOD MART, INC.",Tavern License,7 days,Beer & Light Wine,2556 MADISON AVENUE,21217,"2556 MADISON AVENUE
21217
(39.31471885900004, -76.63994258899999)",39.314718859,-76.639942589
75,WD,BW,12,05/01/2015,04/30/2016,2015,$165.00,321,Renewed,DONG WOO,LEE,ANDY'S FOOD MART,"ANDY'S FOOD MART, INC.",Tavern License,7 days,Beer & Light Wine,2556 MADISON AVENUE,21217,"2556 MADISON AVENUE
21217
(39.31471885900004, -76.63994258899999)",39.314718859,-76.639942589
76,WD,BW,12,05/01/2015,04/30/2016,2015,$165.00,321,Renewed,YON UN,CHONG,ANDY'S FOOD MART,"ANDY'S FOOD MART, INC.",Tavern License,7 days,Beer & Light Wine,2556 MADISON AVENUE,21217,"2556 MADISON AVENUE
21217
(39.31471885900004, -76.63994258899999)",39.314718859,-76.639942589
