,ward,sect,block,lot,propertyAddress,lotSize,cityTax,stateTax,resCode,amountDue,asOfDate,Latitude,Longitude
100780,15,290,3066D,025 ,3103 MONDAWMIN AVE               ,18-11X112-6      ,$1718.98,$85.64,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.315223048006374,-76.66984974496893
186474,27,40,5615 ,014 ,3027 PINEWOOD AVE                ,46X168-4         ,$4956.84,$246.96,PRINCIPAL RESIDENCE      ,,03/25/2015,39.360684170439185,-76.55120210109527
7856,19,10,0153 ,020 ,1315 W MULBERRY ST               ,16-3X100         ,$1240.90,$61.82,PRINCIPAL RESIDENCE      ,,03/25/2015,39.293163243889694,-76.63921054522967
57912,6,150,1710 ,085 ,112 N GLOVER ST                  ,12X70            ,$2315.44,$115.36,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.293728520855666,-76.57987623360049
211452,26,80,6455 ,032 ,3811 FAIT AVE                    ,14X70            ,$4286.94,$213.58,PRINCIPAL RESIDENCE      ,,03/25/2015,39.28363278372706,-76.56464055171926
92157,16,60,2528K,003 ,4104 MOUNTWOOD ROAD              ,19-1X90          ,$1906.30,$94.98,PRINCIPAL RESIDENCE      ,,03/25/2015,39.300933768579625,-76.68466584005569
78557,20,210,2199E,045 ,3224 MASSACHUSETTS AVE           ,19-4X100         ,$2059.17,$102.59,PRINCIPAL RESIDENCE      ,,03/25/2015,39.283907846770774,-76.67131130786976
184971,27,40,5555 ,294 ,3203 WOODRING AVE                ,26-4X108-6       ,$2839.22,$141.46,PRINCIPAL RESIDENCE      ,,03/25/2015,39.36255366492077,-76.54490013243435
201931,26,280,6120 ,048 ,4622 CHATFORD AVE                ,16X110           ,$1683.75,$83.89,PRINCIPAL RESIDENCE      ,,03/25/2015,39.32408683084367,-76.5569900757306
12153,18,70,0233 ,022 ,37 S CAREY ST                    ,14X80            ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.28706174490469,-76.63803570058633
79661,20,200,2230J,024 ,18 S ELLAMONT ST                 ,19-7X73          ,$2020.95,$100.69,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.28529947748996,-76.6704255125266
7478,20,160,0147 ,057 ,1904 W SARATOGA ST               ,14-8X88          ,$562.00,$28.00,NOT A PRINCIPAL RESIDENCE,$659.12,03/25/2015,39.291997723417296,-76.64771185092036
144151,27,10,4198C,041 ,3020 WEAVER AVE                  ,15X83-3          ,$2355.90,$117.38,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.338085895448785,-76.57285747019529
37780,8,70,1127 ,013 ,1525 N BOND ST                   ,15-3X76          ,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.30800264940382,-76.59677511357984
75286,20,80,2100 ,066 ,923 BRUNSWICK ST                 ,15X97            ,$674.40,$33.60,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.277165466614065,-76.65812563598848
96428,15,250,2846 ,022 ,3610 DUVALL AVE                  ,60X135           ,$708.12,$35.28,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.320208693377594,-76.6785907343741
79187,20,230,2218 ,013 ,2804 W MULBERRY ST               ,13-6X70          ,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,$90.09,03/25/2015,39.292687711170004,-76.66278202966612
146316,28,20,4275 ,013 ,6516 VINCENNES AVE               ,150X110          ,$368.67,$18.37,NOT A PRINCIPAL RESIDENCE,$443.35,03/25/2015,39.35253050667865,-76.70763587499482
60407,1,140,1743 ,044 ,25 S ROBINSON ST                 ,13X65            ,$2920.15,$145.49,PRINCIPAL RESIDENCE      ,,03/25/2015,39.29159212197993,-76.57253578629673
20183,11,50,0400 ,072 ,SWS MASON ST 40 FT               ,9X20-7           ,$2.25,$0.11,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.29058294954456,-76.60925984306652
62470,1,30,1766 ,051 ,329 S CHESTER ST                 ,13X60            ,$3981.21,$198.35,PRINCIPAL RESIDENCE      ,,03/25/2015,39.28729251813627,-76.58709546668166
120504,12,180,3695A,303 ,3801 CANTERBURY ROAD U# PD7      ,191.2 SQ FT      ,$89.92,$4.48,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.3343329202292,-76.62037340500785
231454,28,50,8035 ,013 ,504 STAMFORD ROAD                ,75X200           ,$6557.42,$326.70,PRINCIPAL RESIDENCE      ,,03/25/2015,39.28756524923796,-76.70586432477796
79516,20,200,2230F,037 ,28 N ELLAMONT ST                 ,15X73            ,$1726.46,$86.02,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.286558239672104,-76.67048611963793
30725,22,80,0874 ,060 ,520 S HANOVER ST                 ,21-11X87-6       ,$13964.58,$695.74,PRINCIPAL RESIDENCE      ,,03/25/2015,39.28247891846843,-76.61596540677732
149486,27,220,4400A,032 ,6019 BAYWOOD AVE                 ,80-2X159-11      ,$5871.78,$292.54,PRINCIPAL RESIDENCE      ,,03/25/2015,39.363277453692604,-76.6840516111921
119104,12,20,3652 ,006 ,2811 HAMPDEN AVE                 ,13-6X75          ,$2513.26,$125.22,PRINCIPAL RESIDENCE      ,,03/25/2015,39.32054015200748,-76.62424526340737
47360,8,170,1500 ,016 ,2121 E OLIVER ST                 ,15-3X76-10       ,$367.17,$18.29,PRINCIPAL RESIDENCE      ,$391.23,03/25/2015,39.30772292427463,-76.5877598138635
120959,12,10,3695B,293 ,3908 N CHARLES ST U# 1203        ,3099 S.F.        ,$8992.00,$448.00,PRINCIPAL RESIDENCE      ,,03/25/2015,39.33735861101218,-76.6182754683374
163684,27,110,4983G,038 ,332 TAPLOW ROAD                  ,0.289 ACRES      ,$8564.88,$426.72,PRINCIPAL RESIDENCE      ,,03/25/2015,39.36143709634604,-76.61260870792472
40207,10,20,1184 ,007 ,912 E EAGER ST                   ,12X80            ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.30147806616094,-76.60450134845769
21517,11,10,0467 ,031 ,100 E PRESTON ST U# 34           ,917 SQ FT        ,$449.60,$22.40,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.30459816417505,-76.61418216087725
58445,6,180,1714 ,113 ,126 N ELLWOOD AVE                ,12-2X70          ,$3156.19,$157.25,PRINCIPAL RESIDENCE      ,,03/25/2015,39.29398843212152,-76.57346587145202
182551,27,370,5465 ,036 ,2603 CREIGHTON AVE               ,48X120           ,$3255.10,$162.18,PRINCIPAL RESIDENCE      ,,03/25/2015,39.371445420271016,-76.55331285850082
185509,27,40,5575 ,005A,3802 CHESLEY AVE                 ,50X145           ,$3129.22,$155.90,PRINCIPAL RESIDENCE      ,,03/25/2015,39.35974709215566,-76.53414354558737
207883,26,160,6300 ,026 ,200 S CONKLING ST                ,17X75-6          ,$3790.13,$188.83,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.29014920832037,-76.56739584154406
78354,20,210,2195 ,050 ,2806 FREDERICK AVE               ,15-1X67-10       ,$337.20,$16.80,PRINCIPAL RESIDENCE      ,,03/25/2015,39.27997415818197,-76.66196563860251
89996,16,180,2503 ,062 ,743 LINNARD ST                   ,20X82-6          ,$1690.50,$84.22,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.29639756299821,-76.67522046295318
217002,25,60,7027K,027 ,26 BRISTOL AVE                   ,51X77-6          ,$674.40,$33.60,NOT A PRINCIPAL RESIDENCE,$801.99,03/25/2015,39.2357473786397,-76.61374275932008
81451,20,170,2282 ,019 ,419 N EDGEWOOD ST                ,20X76-6          ,$1124.00,$56.00,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.2924627664446,-76.6754151050223
2080,15,120,0037 ,035 ,1363 N CAREY ST                  ,17X90            ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.30499211039864,-76.63901473763923
83681,16,220,2336 ,014 ,1226 N BENTALOU ST               ,22X100           ,$1771.42,$88.26,PRINCIPAL RESIDENCE      ,,03/25/2015,39.302619110684475,-76.6537061219392
108156,15,320,3327H,035 ,3810 DERBY MANOR DR              ,41-8X90-3        ,$674.40,$33.60,PRINCIPAL RESIDENCE      ,,03/25/2015,39.333993753510015,-76.65740898063916
59574,6,180,1731 ,024 ,26 N ELLWOOD AVE                 ,13-11X71-6       ,$2444.32,$121.78,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.29312827824856,-76.57341575403302
161369,27,160,4908 ,022 ,6 UPLAND ROAD U# A               ,1491 S.F.        ,$3871.06,$192.86,PRINCIPAL RESIDENCE      ,,03/25/2015,39.350367318797794,-76.63661539318502
46744,8,160,1485 ,036 ,1514 N PORT ST                   ,12-3X70          ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.30847934674557,-76.58363620284769
148549,27,220,4358 ,025 ,6104 BENHURST ROAD               ,100X130-6        ,$7519.56,$374.64,PRINCIPAL RESIDENCE      ,,03/25/2015,39.36413644204424,-76.68611341670004
90783,16,170,2514A,025 ,828 MOUNT HOLLY ST               ,20X80            ,$1715.22,$85.46,PRINCIPAL RESIDENCE      ,,03/25/2015,39.2974488623762,-76.68000609010818
32212,23,40,0934A,045 ,35 E HAMBURG ST                  ,16-6X68-9        ,$6092.08,$303.52,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.27815367225526,-76.61319846173882
209250,26,170,6344A,016 ,331 FOLCROFT ST                  ,16X90            ,$2488.54,$123.98,PRINCIPAL RESIDENCE      ,,03/25/2015,39.28988346944766,-76.5419350487627
510,15,150,0008 ,047 ,1710 MCKEAN AVE                  ,13X75            ,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,$79.08,03/25/2015,39.30816931895998,-76.64726545713432
60308,1,140,1742 ,047 ,3023 E BALTIMORE ST              ,14-9X70          ,$5705.42,$284.26,NOT A PRINCIPAL RESIDENCE,$6702.39,03/25/2015,39.29228327615334,-76.57385981767567
127986,9,190,3948 ,002B,2322 ARGONNE DR                  ,1.5 ACRES        ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.340106535389396,-76.57980612335308
130769,9,10,3972 ,001 ,3801 OLD YORK ROAD               ,28-2X88-6        ,$3185.42,$158.70,NOT A PRINCIPAL RESIDENCE,$3746.93,03/25/2015,39.335641799830285,-76.60747459077896
81533,20,170,2283 ,047 ,506 DENISON ST                   ,20X76-6          ,$1890.57,$94.19,PRINCIPAL RESIDENCE      ,,03/25/2015,39.29304902279523,-76.67411554959216
146504,28,20,4283 ,020 ,4805 MOUNT HOPE DR               ,3.218 ACRES      ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.34507319067632,-76.7099215010756
222278,25,50,7439A,001 ,2231 CEDLEY ST                   ,15X82            ,$854.24,$42.56,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.26309398320183,-76.63197266380661
181212,27,270,5412A,014 ,5505 ELSRODE AVE                 ,57-6X150         ,$3369.75,$167.89,PRINCIPAL RESIDENCE      ,,03/25/2015,39.35487521731852,-76.56293539485176
187411,27,30,5668A,013 ,6023 ALTA AVE                    ,53X120           ,$3461.92,$172.48,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.35214440254322,-76.54506563646913
228717,25,30,7841K,046 ,2130 HARMAN AVE                  ,24X88-6          ,$2648.14,$131.94,PRINCIPAL RESIDENCE      ,,03/25/2015,39.264596339350646,-76.6490079097864
51143,7,30,1586 ,117 ,957 N CHAPEL ST                  ,12X65            ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.30943663189612,-76.59087967625527
149354,27,220,4396 ,023 ,2507 WETHERBURN ROAD             ,54X117           ,$5469.38,$272.50,PRINCIPAL RESIDENCE      ,,03/25/2015,39.36663997925274,-76.67941633629408
15203,19,90,0279 ,072 ,313 S PARRISH ST                 ,12X69            ,$674.40,$33.60,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.284012743694234,-76.6413749166183
210843,26,60,6440 ,044 ,3313 FOSTER AVE                  ,14X80            ,$4214.26,$209.96,PRINCIPAL RESIDENCE      ,,03/25/2015,39.28445330987341,-76.56934925356438
98582,15,10,2963 ,015 ,3806 PENHURST AVE                ,50X107-2         ,$2909.65,$144.96,PRINCIPAL RESIDENCE      ,,03/25/2015,39.338187295808154,-76.67996180029604
104398,15,180,3206 ,059 ,1906 N PAYSON ST                 ,13-4X80          ,$614.45,$30.61,PRINCIPAL RESIDENCE      ,,03/25/2015,39.31019848986949,-76.64995547776226
63698,1,50,1786 ,024 ,2328 FLEET ST                    ,12-10X75         ,$5136.68,$255.92,PRINCIPAL RESIDENCE      ,,03/25/2015,39.284988284183044,-76.58330169821397
72843,24,80,1942 ,030 ,609 E RANDALL ST                 ,14-2X80          ,$4579.18,$228.14,PRINCIPAL RESIDENCE      ,,03/25/2015,39.27195310395365,-76.60442792061127
151429,27,210,4511 ,004 ,SWS BEAUFORT AV 545 FT           ,25X122-4         ,$22.48,$1.12,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.29058294954456,-76.60925984306652
188826,26,230,5711 ,012 ,4225 BELMAR AVE                  ,50X150           ,$4336.39,$216.05,PRINCIPAL RESIDENCE      ,,03/25/2015,39.35173297439832,-76.53027285180985
71217,24,130,1922 ,300 ,100 HARBORVIEW DR U# PH4B        ,2509 SQ FT       ,$9819.26,$489.22,PRINCIPAL RESIDENCE      ,,03/25/2015,39.277345966843995,-76.60482536339902
41866,4,110,1350 ,171 ,414 WATER ST U# 2102             ,1022 SQ FT       ,$5807.33,$289.33,PRINCIPAL RESIDENCE      ,,03/25/2015,39.288648017692935,-76.60922170641584
81181,20,170,2281 ,224 ,146 N MONASTERY AVE              ,19X101-6         ,$1915.30,$95.42,PRINCIPAL RESIDENCE      ,,03/25/2015,39.28911422624162,-76.67500833806355
131704,9,10,3975 ,002 ,802 CATOR AVE                    ,23X100           ,$2225.52,$110.88,PRINCIPAL RESIDENCE      ,,03/25/2015,39.33911114416509,-76.60468731386766
77278,20,70,2169 ,045 ,2731 W FAIRMOUNT AVE             ,14X75            ,$382.16,$19.04,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.28838344434155,-76.66015494629295
73129,24,60,1958 ,002 ,1101 E MCCOMAS ST                ,41.128 ACRES     ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.26403084384947,-76.58953573478556
141279,8,260,4178F,048 ,3307 RAVENWOOD AVE               ,16X74            ,$1690.50,$84.22,NOT A PRINCIPAL RESIDENCE,$1993.63,03/25/2015,39.315283655117696,-76.57687968085179
51787,7,190,1595 ,073 ,908 N STREEPER ST                ,13-3X63-2        ,$644.43,$32.11,PRINCIPAL RESIDENCE      ,,03/25/2015,39.301637742588866,-76.57754635817707
160637,27,150,4836 ,004B,6005 HUNT CLUB LANE              ,65X206-9         ,$9216.06,$459.16,PRINCIPAL RESIDENCE      ,,03/25/2015,39.37103981883365,-76.63288643166271
196411,26,430,5939 ,005 ,4307 FURLEY AVE                  ,50X118           ,$3124.72,$155.68,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.331785928678755,-76.55803723013327
59444,6,160,1729 ,086 ,21 N STREEPER ST                 ,12-4X60          ,$3305.30,$164.68,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.29288235323912,-76.57690532232198
50285,7,70,1564 ,051 ,1006 MCDONOGH ST                 ,0.023 ACRES      ,$229.30,$11.42,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.30228810261491,-76.5935361323858
237233,28,30,8373D,002 ,3003 MILFORD AVE                 ,50X120           ,$2598.69,$129.47,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.32495514336625,-76.7012115679587
149625,28,10,4419 ,007 ,4111 W NORTHERN PKWY             ,0.585 ACRES      ,$6141.54,$305.98,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.348316833955835,-76.69217295691561
72722,24,80,1941 ,006 ,501 E RANDALL ST                 ,15X80            ,$4046.40,$201.60,PRINCIPAL RESIDENCE      ,,03/25/2015,39.27183305525239,-76.60613890418625
225710,25,50,7649A,018 ,635 CHERATON ROAD                ,26-6X100-10      ,$2582.95,$128.69,PRINCIPAL RESIDENCE      ,,03/25/2015,39.251494724403074,-76.6241788286892
234050,28,20,8190 ,060 ,5562 ELDERON AVE                 ,35X110           ,$2436.83,$121.41,PRINCIPAL RESIDENCE      ,,03/25/2015,39.34175845059309,-76.70048078605862
146979,27,230,4293 ,294 ,3600 BANCROFT ROAD               ,0.109 ACRES      ,$5051.26,$251.66,PRINCIPAL RESIDENCE      ,,03/25/2015,39.361173689415295,-76.69863926408999
233388,25,10,8142 ,021 ,640 BRISBANE ROAD                ,18X100           ,$3019.06,$150.42,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.27350907408561,-76.69430236266311
121826,27,630,3703 ,017 ,4303 N CHARLES ST                ,97X211-6         ,$23128.93,$1152.33,PRINCIPAL RESIDENCE      ,,03/25/2015,39.34040528117987,-76.62027550121263
22610,11,120,0497 ,139 ,1101 - 1115 SAINT PAUL ST U# 1010,1196.2 S.F.      ,$3147.20,$156.80,PRINCIPAL RESIDENCE      ,,03/25/2015,52.3079891050005,4.941440693000459
185480,27,40,5570F,010 ,6707 - 6709 EVERALL AVE          ,0.279 ACRES      ,$4127.33,$205.63,PRINCIPAL RESIDENCE      ,,03/25/2015,51.97210735100049,5.6652977540004485
226035,25,10,7654A,008A,3537 BENZINGER ROAD              ,14X100           ,$2699.85,$134.51,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.270673362386844,-76.6779827459062
171107,27,430,5183 ,056 ,738 RICHWOOD AVE                 ,14X95            ,$1964.75,$97.89,PRINCIPAL RESIDENCE      ,,03/25/2015,39.34653824924192,-76.60538714380084
235828,28,30,8286 ,050 ,2922 SILVER HILL AVE             ,50X150           ,$3727.18,$185.70,PRINCIPAL RESIDENCE      ,,03/25/2015,39.32849362847924,-76.71104267148132
90711,16,60,2513 ,074 ,811 WILDWOOD PKWY                ,20X95            ,$1825.38,$90.94,NOT A PRINCIPAL RESIDENCE,$177.06,03/25/2015,39.29669826751211,-76.68375556876367
43056,3,50,1404 ,423 ,240 PRESIDENT ST U# PS710        ,176 SQ FT        ,$179.84,$8.96,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.28641386071217,-76.60385565411434
232756,25,10,8139 ,011X,435 S WICKHAM ROAD               ,28X119-4         ,$3295.57,$164.19,PRINCIPAL RESIDENCE      ,$1835.76,03/25/2015,39.27819096893916,-76.69654482398363
229695,28,50,7900E,155 ,4815 BRIARCLIFT ROAD             ,97-8X46-3        ,$2753.80,$137.20,PRINCIPAL RESIDENCE      ,,03/25/2015,39.29533577392789,-76.70392373349273
122327,12,180,3726 ,030 ,207 CHANCERY ROAD                ,84X156           ,$10815.87,$538.87,PRINCIPAL RESIDENCE      ,,03/25/2015,39.332823570952144,-76.61335114503851
222288,25,50,7439A,011 ,2251 CEDLEY ST                   ,14X82            ,$899.20,$44.80,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.262724513826356,-76.63218245765347
72436,24,90,1933 ,060 ,1413 JACKSON ST                  ,11-1X59          ,$5347.99,$266.45,PRINCIPAL RESIDENCE      ,,03/25/2015,39.273413501333096,-76.60525543988587
3987,16,40,0073 ,016 ,1717 MOSHER ST                   ,15X85            ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.29987314503069,-76.64521996802631
78592,20,190,2199H,008 ,130 S HILTON ST                  ,20-2X115-11      ,$51.70,$2.58,NOT A PRINCIPAL RESIDENCE,$60.64,03/25/2015,39.28414910879542,-76.67224605511058
165313,27,610,5053F,037 ,4802 NORWOOD ROAD                ,28X97-3          ,$3572.07,$177.97,PRINCIPAL RESIDENCE      ,,03/25/2015,39.34764083156023,-76.61195601685591
36952,12,100,1110 ,068 ,1607 LATROBE ST                  ,11-8X68          ,$1423.73,$70.93,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.30828120901168,-76.6114851462217
67614,1,80,1865 ,025 ,805 S MILTON AVE                 ,13X70            ,$3549.59,$176.85,PRINCIPAL RESIDENCE      ,,03/25/2015,39.28257216017812,-76.58118511320163
